Equipment_Number,Date,Job,Cost_Code,Hours,Rate,Amount
EX-65,2025-04-30,2024-030,9000 100F,1.0,7500.0,7500.0
MT-15,2025-04-30,2024-030,9000 100F / CC NEEDED,0.1,1500.0,150.0
MT-15,2025-04-30,2024-030,9000 100F,0.2,1500.0,300.0
PT-108,2025-04-30,2024-030,9000 100F,0.13,1300.0,169.0
PT-160,2025-04-30,2024-030,9000 100F,0.12,1500.0,180.0
PT-190,2025-04-30,2024-030,9000 100F,0.08,1500.0,120.0
PT-229,2025-04-30,2024-030,9000 100F,0.22,1500.0,330.0
PT-235,2025-04-30,2024-030,9000 100F,0.23,1300.0,299.0
PT-236,2025-04-30,2024-030,9000 100F,1.0,1500.0,1500.0
PT-237,2025-04-30,2024-030,9000 100F,0.05,1500.0,75.0
PT-269,2025-04-30,2024-030,9000 100F,0.09,2500.0,225.0
PT-276,2025-04-30,2024-030,9000 100F,0.2,1000.0,200.0
PT-277,2025-04-30,2024-030,9000 100F,0.25,1000.0,250.0
PT-278,2025-04-30,2024-030,9000 100F,0.18,1000.0,180.0
PT-280,2025-04-30,2024-030,9000 100F,0.59,1500.0,885.0
SFB-07,2025-04-30,2024-030,9000 100F,1.0,3650.0,3650.0
SS-44,2025-04-30,2024-030,9000 100F,1.0,2100.0,2100.0
WL-10,2025-04-30,2024-030,9000 100F,1.0,4000.0,4000.0
WT-07,2025-04-30,2024-030,9000 100F,1.0,4000.0,4000.0
