Division,Equip #,Equipment Description,Date,Job,Phase,Cost Code,Cost Class,Units,Frequency,Rate,Amount,*,NOTE,*2,ASSET SUM OF UNITS
HOU,PT-235,2023 F-150 D66303,2025-04-30,2023-035,1.0,9000 100F / CC NEEDED,4.0,0.36,MONTHLY,1300.0,468.0,,,,0.9999999999999999
HOU,PT-246,2023 F-150 STX,2025-04-30,2023-035,1.0,9000 100F / CC NEEDED,4.0,0.77,MONTHLY,1300.0,1001.0,,,,1.0
HOU,PT-92,2016 F-150 E43112,2025-04-30,2023-035,1.0,9000 100F / CC NEEDED,4.0,0.05,MONTHLY,1300.0,65.0,,,,0.05
HOU,SFB-11,2015 International 4300,2025-04-30,2023-035,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,3650.0,3650.0,,,,1.0
HOU,TH-02,2013 JLG G1255A 12000LB,2025-04-30,2023-035,1.0,9000 100F / CC NEEDED,4.0,0.5,MONTHLY,4000.0,2000.0,,,,0.5
HOU,TH-11,2017 GENIE GTH-5519 TELEHANDLE,2025-04-30,2023-035,1.0,9000 100F / CC NEEDED,4.0,0.5,MONTHLY,2000.0,1000.0,,,,0.5
HOU,14T-45,2025 BTX 14LP-16BK6P-4 (9889),2025-04-30,2023-036,1.0,9000 100F / CC NEEDED,4.0,0.08,MONTHLY,200.0,16.0,,,,1.0
HOU,ET-36,2023 FORD F-250 XL,2025-04-30,2023-036,1.0,9000 100F / CC NEEDED,4.0,0.26,MONTHLY,2000.0,520.0,,,,
HOU,ME-42,VER-MAC PCMS-1500LP (H223781),2025-04-30,2023-036,1.0,9000 100F / CC NEEDED,4.0,0.5,MONTHLY,1250.0,625.0,,,,0.5
HOU,PT-108,2018 F-150 D31569,2025-04-30,2023-036,1.0,9000 100F / CC NEEDED,4.0,0.05,MONTHLY,1300.0,65.0,,,,
HOU,PT-190,2021 F-250 D07383,2025-04-30,2023-036,1.0,9000 100F / CC NEEDED,4.0,0.05,MONTHLY,1500.0,75.0,,,,
HOU,ET-10,2022 DODGE RAM 1500,2025-04-30,2024-017,1.0,9000 100F / CC NEEDED,4.0,0.64,MONTHLY,1300.0,832.0,,,,1.0
HOU,ET-20,2022 DODGE RAM 1500,2025-04-30,2024-017,1.0,9000 100F / CC NEEDED,4.0,0.1,MONTHLY,1300.0,130.0,,,,
HOU,ET-32,2023 FORD F-250 XL,2025-04-30,2024-017,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,2000.0,2000.0,,,,1.0
HOU,EX-51,2017 CAT 308E2CR,2025-04-30,2024-017,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,3000.0,3000.0,,,,1.0
HOU,EX-68,JD 470,2025-04-30,2024-017,1.0,9000 100F / CC NEEDED,4.0,0.05,MONTHLY,10000.0,500.0,,,,0.05
HOU,PT-108,2018 F-150 D31569,2025-04-30,2024-017,1.0,9000 100F / CC NEEDED,4.0,0.34,MONTHLY,1300.0,442.00000000000006,,,,
HOU,PT-160,2019 Ford G54586,2025-04-30,2024-017,1.0,9000 100F / CC NEEDED,4.0,0.12,MONTHLY,1500.0,180.0,,,,
HOU,PT-190,2021 F-250 D07383,2025-04-30,2024-017,1.0,9000 100F / CC NEEDED,4.0,0.35,MONTHLY,1500.0,525.0,,,,
HOU,PT-201,2022 F-250 C70268,2025-04-30,2024-017,1.0,9000 100F / CC NEEDED,4.0,0.05,MONTHLY,1500.0,75.0,,,,
HOU,PT-229,2022 F-250 G40594,2025-04-30,2024-017,1.0,9000 100F / CC NEEDED,4.0,0.19,MONTHLY,1500.0,285.0,,,,
HOU,PT-235,2023 F-150 D66303,2025-04-30,2024-017,1.0,9000 100F / CC NEEDED,4.0,0.32,MONTHLY,1300.0,416.0,,,,
HOU,SFB-09,2013 Freightliner M2 106,2025-04-30,2024-017,1.0,9000 100F / CC NEEDED,4.0,0.34,MONTHLY,3650.0,1241.0,,,,
HOU,SFB-10,2013 Freightliner M2 160,2025-04-30,2024-017,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,3650.0,3650.0,,,,1.0
HOU,SS-41,CAT 289D3 (2023),2025-04-30,2024-017,1.0,9000 100F / CC NEEDED,4.0,0.5,MONTHLY,2100.0,1050.0,,,,0.5
HOU,14T-45,2025 BTX 14LP-16BK6P-4 (9889),2025-04-30,2024-025,1.0,9000 100F / CC NEEDED,4.0,0.92,MONTHLY,200.0,184.0,,,,
HOU,BRO-06,2012 Broce BB250B,2025-04-30,2024-025,1.0,9000 100F / CC NEEDED,4.0,0.5,MONTHLY,1200.0,600.0,,,,0.5
HOU,D-17,2015 CAT D6K2 LGP,2025-04-30,2024-025,1.0,9000 100F / CC NEEDED,4.0,0.1,MONTHLY,5500.0,550.0,,,,0.1
HOU,ET-16,2022 DODGE RAM 1500,2025-04-30,2024-025,1.0,9000 100F / CC NEEDED,4.0,0.5,MONTHLY,1300.0,650.0,,,,1.0
HOU,ET-20,2022 DODGE RAM 1500,2025-04-30,2024-025,1.0,9000 100F / CC NEEDED,4.0,0.1,MONTHLY,1300.0,130.0,,,,
HOU,ET-36,2023 FORD F-250 XL,2025-04-30,2024-025,1.0,9000 100F / CC NEEDED,4.0,0.23,MONTHLY,2000.0,460.0,,,,
HOU,LP-117,WANCO LIGHT TOWER 4-7KW VERT,2025-04-30,2024-025,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,800.0,800.0,,,,1.0
HOU,PT-239,2023 F-150 XL,2025-04-30,2024-025,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,1300.0,1300.0,,,,1.0
HOU,PT-280,2024 F250 XL (REE93968),2025-04-30,2024-025,1.0,9000 100F / CC NEEDED,4.0,0.41,MONTHLY,1500.0,615.0,,,,1.0
HOU,R-13,"84"" Sakai SV510T Roller",2025-04-30,2024-025,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,3000.0,3000.0,,,,1.0
HOU,WT-11,Freightliner M2 2000gal (2014),2025-04-30,2024-025,1.0,9000 100F / CC NEEDED,4.0,0.25,MONTHLY,3000.0,750.0,,,,0.25
HOU,ET-03,2022 DODGE RAM 1500,2025-04-30,2024-028,1.0,9000 100F / CC NEEDED,4.0,0.82,MONTHLY,1300.0,1066.0,,,,
HOU,ET-36,2023 FORD F-250 XL,2025-04-30,2024-028,1.0,9000 100F / CC NEEDED,4.0,0.41,MONTHLY,2000.0,820.0,,,,
HOU,PT-108,2018 F-150 D31569,2025-04-30,2024-028,1.0,9000 100F / CC NEEDED,4.0,0.16,MONTHLY,1300.0,208.0,,,,
HOU,PT-160,2019 Ford G54586,2025-04-30,2024-028,1.0,9000 100F / CC NEEDED,4.0,0.06,MONTHLY,1500.0,90.0,,,,
HOU,PT-190,2021 F-250 D07383,2025-04-30,2024-028,1.0,9000 100F / CC NEEDED,4.0,0.16,MONTHLY,1500.0,240.0,,,,
HOU,PT-229,2022 F-250 G40594,2025-04-30,2024-028,1.0,9000 100F / CC NEEDED,4.0,0.09,MONTHLY,1500.0,135.0,,,,
HOU,PT-235,2023 F-150 D66303,2025-04-30,2024-028,1.0,9000 100F / CC NEEDED,4.0,0.09,MONTHLY,1300.0,117.0,,,,
HOU,PT-246,2023 F-150 STX,2025-04-30,2024-028,1.0,9000 100F / CC NEEDED,4.0,0.23,MONTHLY,1300.0,299.0,,,,
HOU,BRO-09,2014 Lay-Mor SM300,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,1200.0,1200.0,,,,1.0
HOU,CC-03,2013 Kobelco CK1600G,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,8800.0,8800.0,,,,1.0
HOU,D-16,2015 Caterpillar D6N LGP,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,5500.0,5500.0,,,,1.0
HOU,DT-11,2014 PB DT 348 (219806),2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,0.05,MONTHLY,5000.0,250.0,,,,0.05
HOU,ET-10,2022 DODGE RAM 1500,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,0.36,MONTHLY,1300.0,468.0,,,,
HOU,ET-16,2022 DODGE RAM 1500,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,0.5,MONTHLY,1300.0,650.0,,,,
HOU,EX-30,320D CAT Excavator,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,0.65,MONTHLY,5000.0,3250.0,,,,0.65
HOU,EX-55,2015 CAT 326FL,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,5000.0,5000.0,,,,1.0
HOU,EX-59,2016 JD 250G LC,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,5000.0,5000.0,,,,1.0
HOU,EX-65,JD 350G LC (2019),2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,7500.0,7500.0,,,,1.0
HOU,MT-15,2024 F550 MT E60786 MT-15,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,0.1,MONTHLY,1500.0,150.0,,,,
HOU,MT-15,2024 F550 MT E60786 MT-15,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,0.2,MONTHLY,1500.0,300.0,,,,
HOU,PT-108,2018 F-150 D31569,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,0.13,MONTHLY,1300.0,169.0,,,,
HOU,PT-160,2019 Ford G54586,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,0.12,MONTHLY,1500.0,180.0,,,,
HOU,PT-190,2021 F-250 D07383,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,0.08,MONTHLY,1500.0,120.0,,,,
HOU,PT-229,2022 F-250 G40594,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,0.22,MONTHLY,1500.0,330.0,,,,
HOU,PT-235,2023 F-150 D66303,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,0.23,MONTHLY,1300.0,299.0,,,,
HOU,PT-236,2023 F-250,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,1500.0,1500.0,,,,1.0
HOU,PT-237,2023 F-250,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,0.05,MONTHLY,1500.0,75.0,,,,
HOU,PT-269,2024 F350 FLATBED WELDING TK,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,0.09,MONTHLY,2500.0,225.0,,,,
HOU,PT-276,2024 FORD MAVERICK (RRB41388),2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,0.2,MONTHLY,1000.0,200.0,,,,
HOU,PT-277,2024 FORD MAVERICK (RRB40474),2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,0.25,MONTHLY,1000.0,250.0,,,,
HOU,PT-278,2024 FORD MAVERICK (RRB41295),2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,0.18,MONTHLY,1000.0,180.0,,,,
HOU,PT-280,2024 F250 XL (REE93968),2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,0.59,MONTHLY,1500.0,885.0,,,,
HOU,SFB-07,Freightliner M2-106 (2014),2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,3650.0,3650.0,,,,1.0
HOU,SS-44,2025 CAT 265 CTL (KR404778) SS-44,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,2100.0,2100.0,,,,1.0
HOU,WL-10,2015 CAT 938K WL,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,4000.0,4000.0,,,,1.0
HOU,WT-07,2014 Peterbilt 382  4000Gal,2025-04-30,2024-030,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,4000.0,4000.0,,,,1.0
