Equipment_Number,Date,Job,Cost_Code,Hours,Rate,Amount
BH-16,2025-04-30,2022-023,9000 100M,1.0,2500.0,2500.0
BRO-05,2025-04-30,2022-023,9000 100M,1.0,1200.0,1200.0
CT-27,2025-04-30,2022-023,9000 100M,0.16,200.0,32.0
D-13,2025-04-30,2022-023,9000 100M,1.0,4500.0,4500.0
ET-41,2025-04-30,2022-023,9000 100M,0.4,1300.0,520.0
EX-21,2025-04-30,2022-023,9000 100M,0.1,5000.0,500.0
EX-80,2025-04-30,2022-023,9000 100M,0.64,5000.0,3200.0
MT-14,2025-04-30,2022-023,9000 100M,0.09,1500.0,135.0
PT-104,2025-04-30,2022-023,9000 100M,0.7,1300.0,909.9999999999999
PT-173,2025-04-30,2022-023,9000 100M,0.06,1300.0,78.0
PT-207,2025-04-30,2022-023,9000 100M,0.15,1500.0,225.0
PT-277,2025-04-30,2022-023,9000 100M,0.25,1000.0,250.0
PT-278,2025-04-30,2022-023,9000 100M,0.15,1000.0,150.0
PT-282,2025-04-30,2022-023,9000 100M,0.32,1500.0,480.0
PT-89,2025-04-30,2022-023,9000 100M,0.3,1300.0,390.0
WL-04,2025-04-30,2022-023,9000 100M,1.0,4000.0,4000.0
WL-12,2025-04-30,2022-023,9000 100M,0.25,4000.0,1000.0
PT-104,2025-04-30,2023-004,9000 100M,0.07,1300.0,91.00000000000001
PT-89,2025-04-30,2023-004,9000 100M,0.2,1300.0,260.0
BRO-08,2025-04-30,2023-006,9000 100M,0.5,1200.0,600.0
ET-08,2025-04-30,2023-006,9000 100M,1.0,1300.0,1300.0
ET-09,2025-04-30,2023-006,9000 100M,0.2,1300.0,260.0
ET-19,2025-04-30,2023-006,9000 100M,0.2,1300.0,260.0
ET-27,2025-04-30,2023-006,9000 100M,0.89,2000.0,1780.0
EX-41,2025-04-30,2023-006,9000 100M,0.82,3000.0,2460.0
EX-42,2025-04-30,2023-006,9000 100M,0.55,3000.0,1650.0000000000002
EX-70,2025-04-30,2023-006,9000 100M,1.0,5000.0,5000.0
ME-34,2025-04-30,2023-006,9000 100M,1.0,1250.0,1250.0
ME-35,2025-04-30,2023-006,9000 100M,1.0,1250.0,1250.0
ME-51,2025-04-30,2023-006,9000 100M,1.0,1250.0,1250.0
MT-14,2025-04-30,2023-006,9000 100M,0.05,1500.0,75.0
PT-156,2025-04-30,2023-006,9000 100M,0.1,1300.0,130.0
PT-159,2025-04-30,2023-006,9000 100M,0.4,1500.0,600.0
PT-237,2025-04-30,2023-006,9000 100M,0.43,1500.0,645.0
PT-240,2025-04-30,2023-006,9000 100M,0.5,1300.0,650.0
PT-245,2025-04-30,2023-006,9000 100M,0.9,1300.0,1170.0
PT-268,2025-04-30,2023-006,9000 100M,0.2,1000.0,200.0
PT-276,2025-04-30,2023-006,9000 100M,0.1,1000.0,100.0
PT-89,2025-04-30,2023-006,9000 100M,0.2,1300.0,260.0
R-25,2025-04-30,2023-006,9000 100M,1.0,2000.0,2000.0
R-33,2025-04-30,2023-006,9000 100M,1.0,2000.0,2000.0
RTC-02,2025-04-30,2023-006,9000 100M,0.49,6000.0,2940.0
SS-29,2025-04-30,2023-006,9000 100M,1.0,2100.0,2100.0
SS-45,2025-04-30,2023-006,9000 100M,1.0,2100.0,2100.0
SS-46,2025-04-30,2023-006,9000 100M,0.16,2100.0,336.0
SV-08,2025-04-30,2023-006,9000 100M,1.0,1250.0,1250.0
TH-09,2025-04-30,2023-006,9000 100M,1.0,4000.0,4000.0
TH-12,2025-04-30,2023-006,9000 100M,0.5,4000.0,2000.0
WL-03,2025-04-30,2023-006,9000 100M,0.25,4000.0,1000.0
ET-11,2025-04-30,2023-014,9000 100M,1.0,1300.0,1300.0
ET-25,2025-04-30,2023-014,9000 100M,0.46,2000.0,920.0
ME-37,2025-04-30,2023-014,9000 100M,0.2,800.0,160.0
ME-44,2025-04-30,2023-014,9000 100M,1.0,1250.0,1250.0
ME-49,2025-04-30,2023-014,9000 100M,0.28,1250.0,350.00000000000006
ME-54,2025-04-30,2023-014,9000 100M,0.5,800.0,400.0
MT-07,2025-04-30,2023-014,9000 100M,0.25,3500.0,875.0
MT-14,2025-04-30,2023-014,9000 100M,0.08,1500.0,120.0
PT-159,2025-04-30,2023-014,9000 100M,0.1,1500.0,150.0
PT-237,2025-04-30,2023-014,9000 100M,0.08,1500.0,120.0
PT-281,2025-04-30,2023-014,9000 100M,0.1,1500.0,150.0
PT-284,2025-04-30,2023-014,9000 100M,0.4,1500.0,600.0
TH-07,2025-04-30,2023-014,9000 100M,0.75,4000.0,3000.0
TH-10,2025-04-30,2023-014,9000 100M,0.5,2000.0,1000.0
WL-13,2025-04-30,2023-014,9000 100M,0.5,4000.0,2000.0
14T-36,2025-04-30,2023-032,9000 100F,0.96,200.0,192.0
7TD-01,2025-04-30,2023-032,9000 100F,1.0,200.0,200.0
AC-25,2025-04-30,2023-032,9000 100F,0.94,800.0,752.0
AC-27,2025-04-30,2023-032,9000 100F,0.96,800.0,768.0
BH-22,2025-04-30,2023-032,9000 100F,1.0,2500.0,2500.0
BRO-03,2025-04-30,2023-032,9000 100F,0.93,1200.0,1116.0
CFM-11,2025-04-30,2023-032,9000 100F,0.1,8883.0,888.3000000000001
CM-03,2025-04-30,2023-032,9000 100F,0.5,7300.0,3650.0
DT-08,2025-04-30,2023-032,9000 100F,0.95,1700.0,1615.0
ET-22,2025-04-30,2023-032,9000 100F,0.58,2000.0,1160.0
ET-26,2025-04-30,2023-032,9000 100F,0.25,2000.0,500.0
ET-30,2025-04-30,2023-032,9000 100F,0.42,2000.0,840.0
ET-43,2025-04-30,2023-032,9000 100F,0.55,1300.0,715.0000000000001
EX-40,2025-04-30,2023-032,9000 100F,1.0,5000.0,5000.0
EX-80,2025-04-30,2023-032,9000 100F,0.36,5000.0,1800.0
EX-84,2025-04-30,2023-032,9000 100F,1.0,7250.0,7250.0
LP-116,2025-04-30,2023-032,9000 100F,1.0,800.0,800.0
ME-31,2025-04-30,2023-032,9000 100F,0.74,1250.0,925.0
ME-32,2025-04-30,2023-032,9000 100F,0.27,1250.0,337.5
ME-39,2025-04-30,2023-032,9000 100F,0.95,800.0,760.0
ME-43,2025-04-30,2023-032,9000 100F,1.0,1250.0,1250.0
ME-46,2025-04-30,2023-032,9000 100F,1.0,1250.0,1250.0
ME-48,2025-04-30,2023-032,9000 100F,1.0,1250.0,1250.0
ME-55,2025-04-30,2023-032,9000 100F,0.85,800.0,680.0
ME-56,2025-04-30,2023-032,9000 100F,0.91,800.0,728.0
ME-58,2025-04-30,2023-032,9000 100F,0.96,800.0,768.0
ME-59,2025-04-30,2023-032,9000 100F,0.85,800.0,680.0
ML-03,2025-04-30,2023-032,9000 100F,0.85,2500.0,2125.0
ML-06,2025-04-30,2023-032,9000 100F,1.0,2500.0,2500.0
ML-07,2025-04-30,2023-032,9000 100F,1.0,2500.0,2500.0
ML-08,2025-04-30,2023-032,9000 100F,1.0,2500.0,2500.0
ML-09,2025-04-30,2023-032,9000 100F,1.0,2500.0,2500.0
MT-09,2025-04-30,2023-032,9000 100F,0.25,1500.0,375.0
MT-14,2025-04-30,2023-032,9000 100F,0.12,1500.0,180.0
MT-15,2025-04-30,2023-032,9000 100F / CC NEEDED,0.15,1500.0,225.0
MT-15,2025-04-30,2023-032,9000 100F,0.15,1500.0,225.0
PT-167,2025-04-30,2023-032,9000 100F,0.4,1300.0,520.0
PT-168,2025-04-30,2023-032,9000 100F,0.57,1300.0,740.9999999999999
PT-177,2025-04-30,2023-032,9000 100F,0.37,1500.0,555.0
PT-193,2025-04-30,2023-032,9000 100F,0.85,1500.0,1275.0
PT-208,2025-04-30,2023-032,9000 100F,0.73,1500.0,1095.0
PT-218,2025-04-30,2023-032,9000 100F,0.35,1500.0,525.0
PT-224,2025-04-30,2023-032,9000 100F,0.9,1300.0,1170.0
PT-227,2025-04-30,2023-032,9000 100F,0.1,1500.0,150.0
PT-244,2025-04-30,2023-032,9000 100F,0.72,1300.0,936.0
PT-247,2025-04-30,2023-032,9000 100F,0.5,1300.0,650.0
PT-269,2025-04-30,2023-032,9000 100F,0.64,2500.0,1600.0
PT-274,2025-04-30,2023-032,9000 100F,0.7,1000.0,700.0
PT-276,2025-04-30,2023-032,9000 100F,0.15,1000.0,150.0
PT-277,2025-04-30,2023-032,9000 100F,0.15,1000.0,150.0
PT-278,2025-04-30,2023-032,9000 100F,0.15,1000.0,150.0
S-10,2025-04-30,2023-032,9000 100F,0.1,3193.0,319.3
SDT-01,2025-04-30,2023-032,9000 100F,0.89,850.0,756.5
SFB-03,2025-04-30,2023-032,9000 100F,0.65,3650.0,2372.5
SFB-12,2025-04-30,2023-032,9000 100F,0.69,3650.0,2518.5
SFB-13,2025-04-30,2023-032,9000 100F,0.63,3650.0,2299.5
SFB-14,2025-04-30,2023-032,9000 100F,0.66,3650.0,2409.0
SFB-16,2025-04-30,2023-032,9000 100F,0.5,3650.0,1825.0
SFB-22,2025-04-30,2023-032,9000 100F / CC NEEDED,0.05,3650.0,182.5
SFB-22,2025-04-30,2023-032,9000 100F,0.3,3650.0,1095.0
SS-24,2025-04-30,2023-032,9000 100F,0.9,2100.0,1890.0
SS-35,2025-04-30,2023-032,9000 100F,1.0,2100.0,2100.0
SS-36,2025-04-30,2023-032,9000 100F,0.5,2100.0,1050.0
STK-01,2025-04-30,2023-032,9000 100F,1.0,1500.0,1500.0
WEL-15,2025-04-30,2023-032,9000 100F,1.0,200.0,200.0
WT-08,2025-04-30,2023-032,9000 100F,0.9,3000.0,2700.0
WT-09,2025-04-30,2023-032,9000 100F,1.0,3000.0,3000.0
14T-36,2025-04-30,2023-034,9000 100F,0.04,200.0,8.0
AC-25,2025-04-30,2023-034,9000 100F,0.06,800.0,48.0
AC-27,2025-04-30,2023-034,9000 100F,0.04,800.0,32.0
BRO-03,2025-04-30,2023-034,9000 100F,0.07,1200.0,84.00000000000001
DT-08,2025-04-30,2023-034,9000 100F,0.05,1700.0,85.0
ET-22,2025-04-30,2023-034,9000 100F,0.42,2000.0,840.0
ET-26,2025-04-30,2023-034,9000 100F,0.23,2000.0,460.0
ET-30,2025-04-30,2023-034,9000 100F,0.58,2000.0,1160.0
ET-43,2025-04-30,2023-034,9000 100F,0.4,1300.0,520.0
ME-31,2025-04-30,2023-034,9000 100F,0.26,1250.0,325.0
ME-32,2025-04-30,2023-034,9000 100F,0.73,1250.0,912.5
ME-39,2025-04-30,2023-034,9000 100F,0.05,800.0,40.0
ME-55,2025-04-30,2023-034,9000 100F,0.15,800.0,120.0
ME-56,2025-04-30,2023-034,9000 100F,0.09,800.0,72.0
ME-58,2025-04-30,2023-034,9000 100F,0.04,800.0,32.0
ME-59,2025-04-30,2023-034,9000 100F,0.15,800.0,120.0
ML-03,2025-04-30,2023-034,9000 100F,0.15,2500.0,375.0
MT-09,2025-04-30,2023-034,9000 100F,0.25,1500.0,375.0
PT-156,2025-04-30,2023-034,9000 100F,0.34,1300.0,442.00000000000006
PT-167,2025-04-30,2023-034,9000 100F,0.6,1300.0,780.0
PT-168,2025-04-30,2023-034,9000 100F,0.43,1300.0,559.0
PT-173,2025-04-30,2023-034,9000 100F,0.1,1300.0,130.0
PT-177,2025-04-30,2023-034,9000 100F,0.59,1500.0,885.0
PT-187,2025-04-30,2023-034,9000 100F,0.05,1500.0,75.0
PT-193,2025-04-30,2023-034,9000 100F,0.15,1500.0,225.0
PT-208,2025-04-30,2023-034,9000 100F,0.27,1500.0,405.0
PT-224,2025-04-30,2023-034,9000 100F,0.05,1300.0,65.0
PT-227,2025-04-30,2023-034,9000 100F,0.4,1500.0,600.0
PT-228,2025-04-30,2023-034,9000 100F,0.07,1500.0,105.00000000000001
PT-244,2025-04-30,2023-034,9000 100F,0.08,1300.0,104.0
PT-247,2025-04-30,2023-034,9000 100F,0.27,1300.0,351.0
PT-252,2025-04-30,2023-034,9000 100F,0.09,1500.0,135.0
PT-268,2025-04-30,2023-034,9000 100F,0.15,1000.0,150.0
PT-269,2025-04-30,2023-034,9000 100F,0.16,2500.0,400.0
PT-274,2025-04-30,2023-034,9000 100F,0.11,1000.0,110.0
PT-278,2025-04-30,2023-034,9000 100F,0.1,1000.0,100.0
SDT-01,2025-04-30,2023-034,9000 100F,0.07,850.0,59.50000000000001
SFB-03,2025-04-30,2023-034,9000 100F,0.27,3650.0,985.5000000000001
SFB-12,2025-04-30,2023-034,9000 100F,0.31,3650.0,1131.5
SFB-13,2025-04-30,2023-034,9000 100F,0.37,3650.0,1350.5
SFB-14,2025-04-30,2023-034,9000 100F,0.34,3650.0,1241.0
SFB-16,2025-04-30,2023-034,9000 100F,0.2,3650.0,730.0
SFB-22,2025-04-30,2023-034,9000 100F / CC NEEDED,0.05,3650.0,182.5
SFB-22,2025-04-30,2023-034,9000 100F,0.5,3650.0,1825.0
SS-24,2025-04-30,2023-034,9000 100F,0.1,2100.0,210.0
WT-08,2025-04-30,2023-034,9000 100F,0.1,3000.0,300.0
ET-12,2025-04-30,2024-003,9000 100F,0.2,1300.0,260.0
ET-31,2025-04-30,2024-003,9000 100F,0.09,2000.0,180.0
MT-07,2025-04-30,2024-003,9000 100F,0.25,3500.0,875.0
PT-165,2025-04-30,2024-003,9000 100F,1.0,1300.0,1300.0
PT-166,2025-04-30,2024-003,9000 100F,0.12,1300.0,156.0
PT-202,2025-04-30,2024-003,9000 100F,0.04,1500.0,60.0
PT-207,2025-04-30,2024-003,9000 100F,0.09,1500.0,135.0
PT-268,2025-04-30,2024-003,9000 100F,0.15,1000.0,150.0
PT-282,2025-04-30,2024-003,9000 100F,0.18,1500.0,270.0
SFB-16,2025-04-30,2024-003,9000 100F,0.15,3650.0,547.5
SS-28,2025-04-30,2024-003,9000 100F,0.5,2100.0,1050.0
WL-02,2025-04-30,2024-003,9000 100F,0.5,4000.0,2000.0
30T-01,2025-04-30,2024-004,9000 100M,1.0,1000.0,1000.0
BH-17,2025-04-30,2024-004,9000 100F,1.0,2500.0,2500.0
CT-28,2025-04-30,2024-004,9000 100F,1.0,200.0,200.0
DT-12,2025-04-30,2024-004,9000 100F,0.5,5000.0,2500.0
DT-13,2025-04-30,2024-004,9000 100F,1.0,5000.0,5000.0
ET-04,2025-04-30,2024-004,9000 100F,1.0,1300.0,1300.0
ET-07,2025-04-30,2024-004,9000 100F,1.0,1300.0,1300.0
ET-15,2025-04-30,2024-004,9000 100F,0.1,1300.0,130.0
ET-29,2025-04-30,2024-004,9000 100F,1.0,2000.0,2000.0
ET-33,2025-04-30,2024-004,9000 100F,1.0,2000.0,2000.0
ET-35,2025-04-30,2024-004,9000 100F,1.0,2000.0,2000.0
ET-38,2025-04-30,2024-004,9000 100F,1.0,1300.0,1300.0
EX-31,2025-04-30,2024-004,9000 100F,1.0,3000.0,3000.0
EX-38,2025-04-30,2024-004,9000 100F,0.45,3000.0,1350.0
EX-41,2025-04-30,2024-004,9000 100F,0.18,3000.0,540.0
EX-62,2025-04-30,2024-004,9000 100F,1.0,3000.0,3000.0
EX-77,2025-04-30,2024-004,9000 100F,1.0,3000.0,3000.0
ME-37,2025-04-30,2024-004,9000 100F,0.25,800.0,200.0
MT-14,2025-04-30,2024-004,9000 100F,0.06,1500.0,90.0
MT-15,2025-04-30,2024-004,9000 100F / CC NEEDED,0.1,1500.0,150.0
MT-15,2025-04-30,2024-004,9000 100F,0.1,1500.0,150.0
PT-172,2025-04-30,2024-004,9000 100F,0.05,1300.0,65.0
PT-173,2025-04-30,2024-004,9000 100F,0.46,1300.0,598.0
PT-180,2025-04-30,2024-004,9000 100F,0.2,1500.0,300.0
PT-202,2025-04-30,2024-004,9000 100F,0.03,1500.0,45.0
PT-213,2025-04-30,2024-004,9000 100F,0.93,1500.0,1395.0
PT-215,2025-04-30,2024-004,9000 100F,0.06,1500.0,90.0
PT-218,2025-04-30,2024-004,9000 100F,0.35,1500.0,525.0
PT-219,2025-04-30,2024-004,9000 100F,1.0,1500.0,1500.0
PT-228,2025-04-30,2024-004,9000 100F,0.93,1500.0,1395.0
PT-240,2025-04-30,2024-004,9000 100F,0.5,1300.0,650.0
PT-268,2025-04-30,2024-004,9000 100F,0.15,1000.0,150.0
PT-276,2025-04-30,2024-004,9000 100F,0.25,1000.0,250.0
PT-277,2025-04-30,2024-004,9000 100F,0.2,1000.0,200.0
PT-278,2025-04-30,2024-004,9000 100F,0.35,1000.0,350.0
SS-26,2025-04-30,2024-004,9000 100F,1.0,2100.0,2100.0
SS-27,2025-04-30,2024-004,9000 100F,1.0,2100.0,2100.0
SS-37,2025-04-30,2024-004,9000 100F,1.0,2100.0,2100.0
SS-38,2025-04-30,2024-004,9000 100F,1.0,2100.0,2100.0
AC-26,2025-04-30,2024-012,9000 100F,1.0,800.0,800.0
BRO-10,2025-04-30,2024-012,9000 100F,1.0,1200.0,1200.0
CFM-01,2025-04-30,2024-012,9000 100F,1.0,1400.0,1400.0
CP-01,2025-04-30,2024-012,9000 100F,0.6,12500.0,7500.0
CT-27,2025-04-30,2024-012,9000 100F,0.84,200.0,168.0
D-18,2025-04-30,2024-012,9000 100F,1.0,4500.0,4500.0
ET-12,2025-04-30,2024-012,9000 100F,0.8,1300.0,1040.0
ET-15,2025-04-30,2024-012,9000 100F,0.1,1300.0,130.0
ET-23,2025-04-30,2024-012,9000 100F,0.29,2000.0,580.0
ET-24,2025-04-30,2024-012,9000 100F,1.0,2000.0,2000.0
ET-26,2025-04-30,2024-012,9000 100F,0.27,2000.0,540.0
ET-31,2025-04-30,2024-012,9000 100F,0.91,2000.0,1820.0
ET-37,2025-04-30,2024-012,9000 100F,0.18,2000.0,360.0
ET-39,2025-04-30,2024-012,9000 100F,1.0,1300.0,1300.0
EX-52,2025-04-30,2024-012,9000 100F,1.0,3000.0,3000.0
LP-114,2025-04-30,2024-012,9000 100F,1.0,800.0,800.0
MT-14,2025-04-30,2024-012,9000 100F,0.05,1500.0,75.0
MT-15,2025-04-30,2024-012,9000 100F,0.1,1500.0,150.0
PT-156,2025-04-30,2024-012,9000 100F,0.15,1300.0,195.0
PT-166,2025-04-30,2024-012,9000 100F,0.43,1300.0,559.0
PT-173,2025-04-30,2024-012,9000 100F,0.32,1300.0,416.0
PT-202,2025-04-30,2024-012,9000 100F,0.93,1500.0,1395.0
PT-207,2025-04-30,2024-012,9000 100F,0.76,1500.0,1140.0
PT-226,2025-04-30,2024-012,9000 100F,0.09,1500.0,135.0
PT-268,2025-04-30,2024-012,9000 100F,0.25,1000.0,250.0
PT-277,2025-04-30,2024-012,9000 100F,0.15,1000.0,150.0
PT-278,2025-04-30,2024-012,9000 100F,0.07,1000.0,70.0
PT-279,2025-04-30,2024-012,9000 100F,0.1,1500.0,150.0
PT-282,2025-04-30,2024-012,9000 100F,0.5,1500.0,750.0
R-21,2025-04-30,2024-012,9000 100F,0.59,2500.0,1475.0
R-23,2025-04-30,2024-012,9000 100F,0.48,2000.0,960.0
R-27,2025-04-30,2024-012,9000 100F,1.0,2000.0,2000.0
R-32,2025-04-30,2024-012,9000 100F,0.65,2000.0,1300.0
RTC-03,2025-04-30,2024-012,9000 100F,0.65,6000.0,3900.0
SFB-09,2025-04-30,2024-012,9000 100F,0.05,3650.0,182.5
SFB-22,2025-04-30,2024-012,9000 100F / CC NEEDED,0.05,3650.0,182.5
SFB-22,2025-04-30,2024-012,9000 100F,0.05,3650.0,182.5
SS-16,2025-04-30,2024-012,9000 100F,1.0,2100.0,2100.0
WL-02,2025-04-30,2024-012,9000 100F,0.35,4000.0,1400.0
WL-05,2025-04-30,2024-012,9000 100F,1.0,4000.0,4000.0
ET-43,2025-04-30,2024-016,9000 100F,0.05,1300.0,65.0
ET-02,2025-04-30,2024-019,9000 100F,1.0,1300.0,1300.0
ET-25,2025-04-30,2024-019,9000 100F,0.54,2000.0,1080.0
EX-15,2025-04-30,2024-019,9000 100F,0.85,5000.0,4250.0
ME-37,2025-04-30,2024-019,9000 100F,0.55,800.0,440.00000000000006
ME-49,2025-04-30,2024-019,9000 100F,0.72,1250.0,900.0
PT-108,2025-04-30,2024-019,9000 100F,0.04,1300.0,52.0
PT-156,2025-04-30,2024-019,9000 100F,0.36,1300.0,468.0
PT-166,2025-04-30,2024-019,9000 100F,0.45,1300.0,585.0
PT-173,2025-04-30,2024-019,9000 100F,0.06,1300.0,78.0
PT-180,2025-04-30,2024-019,9000 100F,0.3,1500.0,450.0
PT-190,2025-04-30,2024-019,9000 100F,0.05,1500.0,75.0
PT-215,2025-04-30,2024-019,9000 100F,0.71,1500.0,1065.0
PT-237,2025-04-30,2024-019,9000 100F,0.11,1500.0,165.0
PT-281,2025-04-30,2024-019,9000 100F,0.7,1500.0,1050.0
SFB-03,2025-04-30,2024-019,9000 100F,0.08,3650.0,292.0
SFB-09,2025-04-30,2024-019,9000 100F,0.61,3650.0,2226.5
SFB-16,2025-04-30,2024-019,9000 100F,0.15,3650.0,547.5
SS-46,2025-04-30,2024-019,9000 100F,0.84,2100.0,1764.0
ET-14,2025-04-30,2024-023,9000 100F,1.0,1300.0,1300.0
EX-81,2025-04-30,2024-023,9000 100F,0.5,3000.0,1500.0
ME-33,2025-04-30,2024-023,9000 100F,1.0,1250.0,1250.0
ME-41,2025-04-30,2024-023,9000 100F,1.0,1250.0,1250.0
PT-159,2025-04-30,2024-023,9000 100F,0.1,1500.0,150.0
PT-237,2025-04-30,2024-023,9000 100F,0.28,1500.0,420.00000000000006
PT-242,2025-04-30,2024-023,9000 100F,1.0,1500.0,1500.0
PT-245,2025-04-30,2024-023,9000 100F,0.1,1300.0,130.0
PT-276,2025-04-30,2024-023,9000 100F,0.1,1000.0,100.0
PT-284,2025-04-30,2024-023,9000 100F,0.2,1500.0,300.0
RTC-02,2025-04-30,2024-023,9000 100F,0.51,6000.0,3060.0
SDT-01,2025-04-30,2024-023,9000 100F,0.04,850.0,34.0
SS-17,2025-04-30,2024-023,9000 100F,1.0,2100.0,2100.0
TH-06,2025-04-30,2024-023,9000 100F,1.0,4000.0,4000.0
WL-12,2025-04-30,2024-023,9000 100F,0.25,4000.0,1000.0
ET-01,2025-04-30,2024-024,9000 100F,0.88,1300.0,1144.0
ME-38,2025-04-30,2024-024,9000 100F,1.0,800.0,800.0
ME-53,2025-04-30,2024-024,9000 100F,1.0,800.0,800.0
PT-159,2025-04-30,2024-024,9000 100F,0.3,1500.0,450.0
PT-215,2025-04-30,2024-024,9000 100F,0.23,1500.0,345.0
SS-34,2025-04-30,2024-024,9000 100F,0.25,2100.0,525.0
PT-177,2025-04-30,2024-027,9000 100F,0.04,1500.0,60.0
PT-244,2025-04-30,2024-027,9000 100F,0.2,1300.0,260.0
PT-269,2025-04-30,2024-027,9000 100F,0.11,2500.0,275.0
PT-274,2025-04-30,2024-027,9000 100F,0.19,1000.0,190.0
PT-284,2025-04-30,2024-027,9000 100F,0.4,1500.0,600.0
ET-19,2025-04-30,2025-005,9000 100F,0.2,1300.0,260.0
ET-09,2025-04-30,2025-007,100 6002A,0.2,1300.0,260.0
ET-19,2025-04-30,2025-007,100 6002A,0.15,1300.0,195.0
ET-41,2025-04-30,2025-007,100 6002A,0.3,1300.0,390.0
EX-69,2025-04-30,2025-007,100 6002A,0.75,5000.0,3750.0
PT-279,2025-04-30,2025-007,100 6002A,0.6,1500.0,900.0
PT-89,2025-04-30,2025-007,100 6002A,0.15,1300.0,195.0
PT-89,2025-04-30,2025-007,104 6001A,0.15,1300.0,195.0
SS-33,2025-04-30,2025-007,104 6001A,0.5,2100.0,1050.0
ET-41,2025-04-30,2025-008,9000 100F,0.3,1300.0,390.0
PT-180,2025-04-30,SEL-2025,0024 0006,0.5,1500.0,750.0
