Division,Equip #,Equipment Description,Date,Job,Phase,Cost Code,Cost Class,Units,Frequency,Rate,Amount,*,NOTE,*2,ASSET SUM OF UNITS
WT,ME-47,VER-MAC PCMS-1500LP (H223773),2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,1250.0,1250.0,,,,1.0
WT,PAV-04,2015 CAT AP1055F,2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,10000.0,10000.0,,,,1.0
WT,PT-104,2017 F-150 E48666,2025-04-30,2023-007,1.0,9000 100M,4.0,0.23,MONTHLY,1300.0,299.0,,,,
WT,PT-156,2019 F150 F14517,2025-04-30,2023-007,1.0,9000 100M,4.0,0.05,MONTHLY,1300.0,65.0,,,,
WT,PT-163,2020 F-250 D40370,2025-04-30,2023-007,1.0,9000 100M,4.0,1.0,MONTHLY,1500.0,1500.0,,,,1.0
WT,PT-182,2020 F-250 D97616,2025-04-30,2023-007,1.0,9000 100M,4.0,1.0,MONTHLY,1500.0,1500.0,,,,1.0
WT,PT-199,2022 F-250 C70266,2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,1500.0,1500.0,,,,1.0
WT,PT-226,2022 F-250 G40582,2025-04-30,2023-007,1.0,9000 100M,4.0,0.45,MONTHLY,1500.0,675.0,,,,
WT,PT-276,2024 FORD MAVERICK (RRB41388),2025-04-30,2023-007,1.0,9000 100M,4.0,0.2,MONTHLY,1000.0,200.0,,,,
WT,R-09,"84"" CAT 563 Padfoot Roller",2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,3000.0,3000.0,,,,1.0
WT,R-15,"33"" Wacker Neuson Trench Roll",2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,1500.0,1500.0,,,,1.0
WT,R-22,2011 CAT CS54,2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,2000.0,2000.0,,,,1.0
WT,SB-01,ROADTEC SB2500E SHUTTLE BUGGY,2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,0.5,MONTHLY,16000.0,8000.0,,"WTX AGREEMENT, CHARGE 1/2 ",,0.5
WT,SFB-08,2013 Freightliner M2 FA9530,2025-04-30,2023-007,1.0,9000 100M | 9000 100F | CC NEEDED,4.0,1.0,MONTHLY,3650.0,3650.0,,,,1.0
WT,SFB-15,2017 FREIGHTLINER M2 (H9217),2025-04-30,2023-007,1.0,9000 100M | 9000 100F | CC NEEDED,4.0,0.05,MONTHLY,3650.0,182.5,,,,1.0
WT,SFB-15,2017 FREIGHTLINER M2 (H9217),2025-04-30,2023-007,1.0,9000 100M | 9000 100F | CC NEEDED,4.0,0.95,MONTHLY,3650.0,3467.5,,,,
WT,SS-22,2017 CAT 279D,2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,0.75,MONTHLY,2100.0,1575.0,,,,0.75
WT,SS-39,CAT 289D3 (2022),2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,0.75,MONTHLY,2100.0,1575.0,,,,0.75
WT,WL-06,2013 CAT 950K,2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,4500.0,4500.0,,,,1.0
WT,WT-12,Freightliner M2 4000gal (2015),2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,0.75,MONTHLY,3000.0,2250.0,,,,0.75
WT,ET-09,2022 DODGE RAM 1500,2025-04-30,2023-019,1.0,9000 100F / CC NEEDED,4.0,0.2,MONTHLY,1300.0,260.0,,,,
WT,PT-185,2020 F150 F16442,2025-04-30,2023-019,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,1300.0,1300.0,,,,1.0
