"Job No","Job Name","Project Class","Geographic Area","Manager","Customer","Tax Groups","Code Method","County","Cost Basis","CRT","Tax Exempt","Job Status","Tax Auth"
"2023-028","Tarrant FM 157 Intersection Im","Texas","DFW Area","Cooper Link","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2023-029","SM-Tarrant IH 20 Rehad Road","Texas","DFW Area","Sam Piland","Select Maintenance","Texas","Budget","","Unit Cost","Yes","No","Inactive",""
"2023-032","IH-345 BRIDGE REHABILITATION","Texas","DFW Area","Eric Giebelhaus","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2023-034","Dallas IH 45 Bridge Maintenanc","Texas","DFW Area","Eric Giebelhaus","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2023-998","2023 South T&M","Texas","DFW Area","Ammar Elhamad","","Texas","Budget","","Unit Cost","Yes","No","Inactive",""
"2024-003","Dallas 635 Slope Stabilization","Texas","DFW Area","Adam Goode","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2024-004","City of Dallas Sidewalk 2024","Texas","DFW Area","Caleb Padgett","City of Dallas","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2024-012","Dallas IH 635 U-Turn Bridge","Texas","DFW Area","Adam Goode","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2024-016","Rockwall SH 66 Column Repair","Texas","DFW Area","Eric Giebelhaus","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2024-019","Tarrant VA Bridge Rehab","Texas","DFW Area","Jared Ruhrup","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2024-023","Tarrant Riverside Bridge Rehab","Texas","DFW Area","Jared Ruhrup","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2024-024","Tarrant CS Intersection Improv","Texas","DFW Area","Jared Ruhrup","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2024-027","NTTA Fracture Critical Bridge","Texas","DFW Area","SAM ABUNEMEH","NTTA","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2024-034","NTTA DNT ML Deck Repair","Texas","DFW Area","Ammar Elhamad","NTTA","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2024-036","Terminal F Civil Utility Packa","Texas","DFW Area","Ammar Elhamad","DFW Airport","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2024-998","2024 South T&M","Texas","DFW Area","Ammar Elhamad","","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2025-004","NTTA PGBT HMA Shoulder Rehab","Texas","DFW Area","Ammar Elhamad","NTTA","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2025-006","NTTA PGBT Shoulder Improvement","Texas","DFW Area","Ammar Elhamad","NTTA","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2025-007","SM-Dallas SH 310 Intersection","Texas","DFW Area","Ammar Elhamad","Select Maintenance","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2025-008","NTTA CTP Southbound Mainlanes","Texas","DFW Area","Ammar Elhamad","NTTA","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2025-998","2025 South T&M","Texas","DFW Area","","","Texas","Budget","","Unit Cost","No","No","Inactive",""
"DALOH-HH","Dallas OH Heavy Highway","","DFW Area","Ammar Elhamad","","","Budget","","Unit Cost","No","No","Overhead",""
"EQUIP DFW","Equipment DFW Division","Texas","DFW Area","Sam Piland","","Texas","Budget","","Unit Cost","No","No","Overhead",""
"EQUIP SO","Equipment Southern Division","Texas","DFW Area","Rahul Patil","","Texas","Budget","","Unit Cost","No","No","Closed",""
"RAG-2025","RAG Rental LLC","Texas","DFW Area","","","Texas","Budget","","Unit Cost","Yes","No","Active",""
"RGH-2025","Ragle Group Holdings","Texas","DFW Area","","","Texas","Budget","","Unit Cost","Yes","No","Active",""
"RTH-2025","Ragle Texas Holdings","Texas","DFW Area","","","Texas","Budget","","Unit Cost","Yes","No","Active",""
"SEL-2024","Select Maintenace 2024","Texas","DFW Area","James Gabe","Select Maintenance","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"SEL-2025","Select Maintenance 2025","Texas","DFW Area","James Gabe","Select Maintenance","Texas","Budget","","Unit Cost","Yes","No","Active",""
"SEL-DALHH","Texas Dallas","Texas","DFW Area","James Gabe","Select Maintenance","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"SSS-2024","Southern Sourcing 2024","Texas","DFW Area","","","Texas","Budget","","Unit Cost","No","No","Closed",""
"SSS-2025","Southern Sourcing 2025","Texas","DFW Area","","","Texas","Budget","","Unit Cost","No","No","Active",""
"TEXDIST","Texas District Office","","DFW Area","Ammar Elhamad","","","Budget","","Unit Cost","No","No","Overhead",""
"TXOFFICE","Texas Office","Texas","DFW Area","MATT SHAYLOR","","","Budget","","Unit Cost","No","No","Closed",""
"UNI-2025","Unified Specialties","Texas","DFW Area","","","Texas","Budget","","Unit Cost","Yes","No","Active",""
