AssetID,Category,Location,WeeklyHours,UtilizationLevel,Status,RentalSavingsPotential,LastUpdated
SS-32,Skid Steer,2021-017 Plano Collin Creek Culvert Imp,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
R-28,Roller,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
AC-05,Air Compressor,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTG-02,Generator,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
D-18,Dozer,DFW Yard,5,IDLE,IDLE - Consider Deployment,2750,2025-05-29 05:13:25
EX-02S,Excavator,DFW Yard,5,IDLE,IDLE - Consider Deployment,2250,2025-05-29 05:13:25
R-26,Roller,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
SS-01S,Skid Steer,2024-004 City of Dallas Sidewalk 2024 (YARD),5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
SS-28,Skid Steer,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
WL-06,Wheel Loader,2023-007 Ector BI 20E Rehab Roadway,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTG-01,Generator,"9701 - 10229 Oak Grove Rd, Fort Worth, TX 76140",25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
LP-04,Light Plant,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
LP-06,Light Plant,HOU YARD/SHOP,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
S-09,Heavy Truck,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
SFB-11,Truck Mounted Attenuator (TMA),ROAD BROTHERS,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
TH-06,Telehandler,2024-023 TARRANT RIVERSIDE BRIDGE REHAB,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
TH-07,Telehandler,2023-014 (1) TARRANT IH 20 US 81 BR,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
WL-05,Wheel Loader,2024-012 Dal IH635 U-Turn Bridge,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
WT-10,Heavy Truck,2022-008 Gregg CS Bridge Replacement,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
WT-12,Heavy Truck,2023-007 Ector BI 20E Rehab Roadway,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTG-03,Generator,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
CP-01,Concrete Pump,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
LP-104,Light Plant,WTX YARD (2),5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
LP-106,Light Plant,2023-006 (OFFICE) Tarrant SH 183 Bridge,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
LP-107,Light Plant,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
R-23,Roller,24-04 DALLAS SH 310 INTERSECTION IMPROV,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
R-25,Roller,2023-006 (OFFICE) Tarrant SH 183 Bridge,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
SS-27,Skid Steer,2024-004 CoD Sidewalks 2024 (#17),25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
SS-29,Skid Steer,2023-006 (OFFICE) Tarrant SH 183 Bridge,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
T-03,Stabilization,24-04 DALLAS SH 310 INTERSECTION IMPROV,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTC-01,Cargo Trailer,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTC-02,Cargo Trailer,,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTC-03,Cargo Trailer,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
AC-21,Air Compressor,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
AC-23,Air Compressor,2021-017 Plano Collin Creek Culvert Imp,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTC-04,Cargo Trailer,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
SS-33 (AARON CONCHA),Skid Steer,24-04 DALLAS SH 310 INTERSECTION IMPROV,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
R-22,Roller,2023-007 Ector BI 20E Rehab Roadway,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
R-27,Roller," S Belt Line Rd, Irving, TX 75019",25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
SFB-09,Truck Mounted Attenuator (TMA),2024-019 (15) Tarrant VA Bridge Rehab,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
TH-09,Telehandler,2023-006 Tarrant SH 183 Bridge Replacement,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
WT-11,Heavy Truck,Beaumont RAG Property,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
CP-02,Concrete Pump,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTC-05,Cargo Trailer,2023-006 (OFFICE) Tarrant SH 183 Bridge,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTC-01S,Cargo Trailer,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
LP-05,Light Plant,WTX YARD (2),5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
AC-24,Air Compressor,2024-012 Dal IH635 U-Turn Bridge,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
LP-108,Light Plant,2023-006 (OFFICE) Tarrant SH 183 Bridge,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
SFB-04S,Truck Mounted Attenuator (TMA)," Walnut Hill Ln, Dallas, TX 75229",25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTC-11 (SALVADOR AGUILLON),Cargo Trailer,2023-006 (OFFICE) Tarrant SH 183 Bridge,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
AC-12,Air Compressor," Maple Ave, Dallas, TX 75219",25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
AC-22,Air Compressor,HOU YARD/SHOP,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
LP-105,Light Plant,HOU YARD/SHOP,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTC-27,Cargo Trailer,,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTC-31,Cargo Trailer,2024-004 City of Dallas Sidewalk 2024 (YARD),5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTD-01S,Dump Trailer,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTF-01,Flatbed Trailer,2022-003 (YARD),5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTF-04,Flatbed Trailer,2023-035 (5) HARRIS VA BRIDGE REHAB,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTF-06 (JESUS LOPEZ SOTO),Flatbed Trailer,2024-004 City of Dallas Sidewalk 2024 (YARD),5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTF-09,Flatbed Trailer,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTC-06,Cargo Trailer,,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTC-09,Cargo Trailer,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTC-10,Cargo Trailer,,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTC-22,Cargo Trailer,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTC-25 (SALVADOR AGUILLON),Cargo Trailer,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTD-02S,Dump Trailer,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTF-05,Flatbed Trailer,WTX YARD (2),5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTF-10,Flatbed Trailer,"8292 - 8324 Cottonwood Ln, Kaufman, TX 75160",25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTF-15,Flatbed Trailer,2023-006 (OFFICE) Tarrant SH 183 Bridge,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTF-19,Flatbed Trailer,2023-006 (OFFICE) Tarrant SH 183 Bridge,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTF-20,Flatbed Trailer,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTF-22,Flatbed Trailer,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
WTF-02,Flatbed Trailer,,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
HTC-09,Cargo Trailer,2024-030 Matagorda SH 35 Bridge Replacement,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
LP-07N,Light Plant,2024-012 Dal IH635 U-Turn Bridge,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
SS-34 (JOSE RIVERA),Skid Steer,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
SFB-05S,Truck Mounted Attenuator (TMA),"2270 - 2256 Decker Dr, Baytown, TX 77520",25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTC-12 (JUAN L. RUIZ),Cargo Trailer,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTC-24,Cargo Trailer,2024-012 Dal IH635 U-Turn Bridge,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTF-01S,Flatbed Trailer,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTF-03,Flatbed Trailer,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTF-16 (JOSE RANGEL),Flatbed Trailer,2024-004 City of Dallas Sidewalk 2024 (YARD),5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTF-17 ,Flatbed Trailer,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTF-21,Flatbed Trailer,2024-004 City of Dallas Sidewalk 2024 (YARD),5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
HTC-05,Cargo Trailer,2024-012 Dal IH635 U-Turn Bridge,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
HTC-06,Cargo Trailer,,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
SFB-13,Truck Mounted Attenuator (TMA),2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
SFB-12,Truck Mounted Attenuator (TMA),2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTC-20,Cargo Trailer,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTC-21,Cargo Trailer,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTC-30,Cargo Trailer,2024-004 City of Dallas Sidewalk 2024 (YARD),5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTF-02S,Flatbed Trailer,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTF-12,Flatbed Trailer,2023-006 (OFFICE) Tarrant SH 183 Bridge,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTF-13,Flatbed Trailer,"10401 - 10529 Las Brisas Dr, Dallas, TX 75243",25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
WTW-01,Water Trailer,,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
HTC-01,Cargo Trailer,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
HTC-04,Cargo Trailer,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
HTC-07 (ALONZO GONZALEZ),Cargo Trailer,HOU YARD/SHOP,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
HTF-01,Flatbed Trailer,HOU YARD/SHOP,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTC-23,Cargo Trailer," N Beach St, Fort Worth, TX 76137",25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTC-28,Cargo Trailer,2024-004 City of Dallas Sidewalk 2024 (YARD),5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DTC-29 (ALONSO MIRAMONTES),Cargo Trailer,2023-006 Tarrant SH 183 Bridge Replacement,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTF-03S,Flatbed Trailer,,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTF-11 (HECTOR J. CLAUDIO),Flatbed Trailer,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTF-18,Flatbed Trailer,2022-008 Gregg CS Bridge Replacement,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
VT-01S,Vacuum Trailer,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
HTB-01,Trailer,2024-030 Matagorda SH 35 Bridge Replacement,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
HTD-01,Dump Trailer,,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
LP-101,Light Plant,HOU YARD/SHOP,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
SS-37 (JOSE RANGEL),Skid Steer,2024-004 CoD Sidewalks 2024 (#06),25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
SS-36 (SALVADOR AGUILLON),Skid Steer,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
DTD-01,Dump Trailer,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
