StartDate,ReportParameters_1,Values_1
04/01/2025,Company:,Ragle - Texas
04/01/2025,Status:,Active

EndDate,ReportParameters_2,Values_2
04/30/2025,Data Source:,Gauge Device
04/30/2025,,Including Assets with No Usage

Month_Hours,AssetLabel_Hours,AssetMonth_Hours,AssetPeriod_Hours,MonthTotal_Hours,PeriodTotal_Hours
Apr,2023-034 DALLAS IH 45 BRIDGE MAINTENANCE,914:05,914:05,13628:42,13628:42
Apr,2024-004 CoD Sidewalks 2024 (#16),61:36,61:36,13628:42,13628:42
Apr,2024-024 (1) TARRANT CS INTERSECTION IMPROV,12:03,12:03,13628:42,13628:42
Apr,2024-019 (3) Tarrant VA Bridge Rehab,1:23,1:23,13628:42,13628:42
Apr,2024-004 CoD Sidewalks 2024 (#14),0:00,0:00,13628:42,13628:42
Apr,2024-004 CoD Sidewalks 2024 (#15),0:15,0:15,13628:42,13628:42
Apr,2024-004 CoD Sidewalks 2024 (#13),0:01,0:01,13628:42,13628:42
Apr,2022-042 (2) SL 12 Overlay & Maintenance,9:31,9:31,13628:42,13628:42
Apr,2022-042 (3) SL 12 Overlay & Maintenance,2:42,2:42,13628:42,13628:42
Apr,2025-005 (2) Howard IH 20 Bridge Replacement,0:19,0:19,13628:42,13628:42
Apr,2023-007 BI 20 (OFFICE),22:52,22:52,13628:42,13628:42
Apr,2024-019 (16) Tarrant VA Bridge Rehab,0:02,0:02,13628:42,13628:42
Apr,2024-028 (7) HARRIS VA BEARING PAD REPLACEMENT,0:46,0:46,13628:42,13628:42
Apr,ROAD BROTHERS,0:15,0:15,13628:42,13628:42
Apr,2023-004 (4) DFW Airport Landside Storm PH2,0:06,0:06,13628:42,13628:42
Apr,2025-006 (1) NTTA PGBT SHOULDER IMPROVEMENTS,0:12,0:12,13628:42,13628:42
Apr,2023-035 (TXDOT YARD) HARRIS VA BRIDGE REHABS,11:52,11:52,13628:42,13628:42
Apr,2023-036 GALVESTON FM 517 HIGHWAY IMPROVEMENT,22:13,22:13,13628:42,13628:42
Apr,REGIONAL TRAFFIC SERVICES,0:21,0:21,13628:42,13628:42
Apr,2022-040 (4) Hardin US 96 Bridge Maintenance,2:25,2:25,13628:42,13628:42
Apr,2022-040 (3) Hardin US 96 Bridge Maintenance,0:09,0:09,13628:42,13628:42
Apr,2024-004 CoD Sidewalks 2024 (#17),0:09,0:09,13628:42,13628:42
Apr,TRAFFIC WALNUT HILL YARD,104:53,104:53,13628:42,13628:42
Apr,2024-019 (20) Tarrant VA Bridge Rehab,0:17,0:17,13628:42,13628:42
Apr,2023-032 (OFFICE) SH 345 BRIDGE REHABILITATION,37:52,37:52,13628:42,13628:42
Apr,2023-007 Ector BI 20E Rehab Roadway,1718:41,1718:41,13628:42,13628:42
Apr,2024-003 Dallas 635 Slope Stabalization,71:33,71:33,13628:42,13628:42
Apr,2024-028 (3) HARRIS VA BEARING PAD REPLACEMENT,0:25,0:25,13628:42,13628:42
Apr,2025-006 (2) NTTA PGBT SHOULDER IMPROVEMENTS,0:02,0:02,13628:42,13628:42
Apr,2023-028 TARRANT FM 157 INTERSECTION IMPROVEMENTS,1:09,1:09,13628:42,13628:42
Apr,2023-006 (OFFICE) Tarrant SH 183 Bridge,90:45,90:45,13628:42,13628:42
Apr,2021-072 (1) DFW Slope Remediation 2,1:31,1:31,13628:42,13628:42
Apr,"2021-072 (6, 12, 13) DFW Slope Remediation 2",2:58,2:58,13628:42,13628:42
Apr,2024-004 CoD Sidewalks 2024 (#01),90:43,90:43,13628:42,13628:42
Apr,2023-035 (8) HARRIS VA BRIDGE REHABS,6:39,6:39,13628:42,13628:42
Apr,2023-006 Tarrant SH 183 Bridge Replacement,375:18,375:18,13628:42,13628:42
Apr,2023-004 (2) DFW Airport Landside Storm PH2,0:27,0:27,13628:42,13628:42
Apr,2024-004 CoD Sidewalks 2024 (#22),63:48,63:48,13628:42,13628:42
Apr,2024-027 (2) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,0:04,0:04,13628:42,13628:42
Apr,2024-028 (1) HARRIS VA BEARING PAD REPLACEMENT,0:35,0:35,13628:42,13628:42
Apr,2024-012 Dal IH635 U-Turn Bridge,1073:46,1073:46,13628:42,13628:42
Apr,24-04 DALLAS SH 310 INTERSECTION IMPROV,644:55,644:55,13628:42,13628:42
Apr,2023-014 (3) TARRANT IH 20 US 81 BR,45:31,45:31,13628:42,13628:42
Apr,DFW Yard,616:17,616:17,13628:42,13628:42
Apr,2022-008 Gregg CS Bridge Replacement,405:25,405:25,13628:42,13628:42
Apr,2022-042 (1) SL 12 Overlay & Maintenance,2:38,2:38,13628:42,13628:42
Apr,2021-017 Plano Collin Creek Culvert Imp,16:14,16:14,13628:42,13628:42
Apr,2024-019 (15) Tarrant VA Bridge Rehab,67:50,67:50,13628:42,13628:42
Apr,2025-004 NTTA PGBT HMA Shoulder Rehab,34:42,34:42,13628:42,13628:42
Apr,24-06 NTTA DNT Seg 3 Joint Sealing,16:28,16:28,13628:42,13628:42
Apr,2024-019 (6) Tarrant VA Bridge Rehab,0:00,0:00,13628:42,13628:42
Apr,2019-044 E. Long Avenue,30:37,30:37,13628:42,13628:42
Apr,2023-035 (5) HARRIS VA BRIDGE REHAB,187:49,187:49,13628:42,13628:42
Apr,2024-019 (17) Tarrant VA Bridge Rehab,5:54,5:54,13628:42,13628:42
Apr,2024-019 (21) Tarrant VA Bridge Rehab,63:03,63:03,13628:42,13628:42

Month_Miles,AssetLabel_Miles,AssetMonth_Miles,AssetPeriod_Miles,MonthTotal_Miles,PeriodTotal_Miles
Apr,Bridge,7578:59,7578:59,13628:42,13628:42
Apr,Intersection,696:20,696:20,13628:42,13628:42
Apr,Office,195:59,195:59,13628:42,13628:42
Apr,Sidewalks,912:45,912:45,13628:42,13628:42
Apr,Dirt ,0:02,0:02,13628:42,13628:42
Apr,,0:00,0:00,13628:42,13628:42
Apr,SUB,0:02,0:02,13628:42,13628:42
Apr,Highway,22:13,22:13,13628:42,13628:42
Apr,Customer,0:36,0:36,13628:42,13628:42
Apr,Slope Stabilization,87:00,87:00,13628:42,13628:42
Apr,Jobsite,0:40,0:40,13628:42,13628:42
Apr,Yard,1931:00,1931:00,13628:42,13628:42
Apr,Culvert,16:14,16:14,13628:42,13628:42
Apr,Road,2186:47,2186:47,13628:42,13628:42

AssetLabel,Textbox43,AssetLabel1,Textbox6,Textbox407,UtilTarget1,Textbox405
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,#210013 - MATTHEW C. SHAYLOR JEEP WRANGLER 2024 Pickup Truck +,0:01,0:01,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,PT-277 (Said Garcia) FORD MAVERICK XL 2024 Pickup Truck +,0:00,0:00,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,PT-280 (ANDRES BLANCO) FORD F250 XL 2024 Pickup Truck +,0:00,0:00,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,PT-229 (REYNERI CABALLERO) FORD F250 2022 Pickup Truck +,1:01,1:01,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,PT-239 (ALEJANDRO RODRIGUEZ) FORD F150 2023 Pickup Truck +,0:01,0:01,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,PT-235 (LUIS MORALES) FORD F150 2023 Pickup Truck +,0:00,0:00,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,PT-194 (Albert Perry is using) FORD F250 2021 Pickup Truck +,0:01,0:01,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,ET-16 (LUIS MURCIA ORELLANA) RAM 1500 2022 Pickup Truck +,0:05,0:05,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,ET-03 (Manuel Andrade) RAM 1500 2022 Pickup Truck +,2:35,2:35,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,ET-20 (OPEN RAM 1500) RAM 1500 2022 Pickup Truck +,0:03,0:03,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,PT-160 (ARMANDO SALDIERNA JR) FORD F250 2019 Pickup Truck +,0:06,0:06,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,SFB-03S FREIGHTLINER M2 106 2012 Truck Mounted Attenuator (TMA) +,0:00,0:00,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,ET-33 (JOSE P. LOPEZ LIRA) FORD F250 2024 Pickup Truck +,0:02,0:02,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,PT-236 (ROLANDO COLMENERO-GARCIA) FORD F250 2023 Pickup Truck +,0:11,0:11,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,SFB-11 INTERNATIONAL 4300 2015 Truck Mounted Attenuator (TMA) +,0:00,0:00,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,PT-10S (ROBERT BERRYHILL) CHEVROLET 2500HD 2022 Pickup Truck +,0:01,0:01,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,ET-34 (AURELIANO REYES) FORD F250 2024 Pickup Truck +,0:01,0:01,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,SFB-07 FREIGHTLINER M2 106 2014 Truck Mounted Attenuator (TMA) +,0:00,0:00,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,ET-10 (JESUS MEDINA) RAM 1500 2022 Pickup Truck +,0:01,0:01,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,PT-246 (PHILLIP SABAJ) FORD F150 2023 Pickup Truck +,0:32,0:32,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,PT-201 (OPEN) FORD F250 2022 Pickup Truck +,0:00,0:00,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,PT-14S (Keith Smith) FORD F250 2023 Pickup Truck +,0:11,0:11,5:04,5:04
2023-035 (9) HARRIS VA BRIDGE REHABS,Apr,PT-165 (Alberto Zuniga) FORD F150 2020 Pickup Truck +,0:00,0:00,5:04,5:04
Ragle storage unit,Apr,#210013 - MATTHEW C. SHAYLOR JEEP WRANGLER 2024 Pickup Truck +,0:08,0:08,0:16,0:16
Ragle storage unit,Apr,PT-169 (OPEN F150 STX) FORD F150 2020 Pickup Truck +,0:08,0:08,0:16,0:16
2023-035 (3) HARRIS VA BRIDGE REHABS,Apr,#410009 HECTOR U. BONILLA RAM 2500 2024 Personal Vehicle +,0:00,0:00,0:40,0:40
2023-035 (3) HARRIS VA BRIDGE REHABS,Apr,ET-10 (JESUS MEDINA) RAM 1500 2022 Pickup Truck +,0:00,0:00,0:40,0:40
2023-035 (3) HARRIS VA BRIDGE REHABS,Apr,SFB-05S MACK MD6 2023 Truck Mounted Attenuator (TMA) +,0:00,0:00,0:40,0:40
2023-035 (3) HARRIS VA BRIDGE REHABS,Apr,SFB-07 FREIGHTLINER M2 106 2014 Truck Mounted Attenuator (TMA) +,0:00,0:00,0:40,0:40
2023-035 (3) HARRIS VA BRIDGE REHABS,Apr,ET-20 (OPEN RAM 1500) RAM 1500 2022 Pickup Truck +,0:08,0:08,0:40,0:40
2023-035 (3) HARRIS VA BRIDGE REHABS,Apr,PT-235 (LUIS MORALES) FORD F150 2023 Pickup Truck +,0:01,0:01,0:40,0:40
2023-035 (3) HARRIS VA BRIDGE REHABS,Apr,PT-190 (JOSE TURRUBIARTES JR) FORD F250 2021 Pickup Truck +,0:05,0:05,0:40,0:40
2023-035 (3) HARRIS VA BRIDGE REHABS,Apr,PT-236 (ROLANDO COLMENERO-GARCIA) FORD F250 2023 Pickup Truck +,0:17,0:17,0:40,0:40
2023-035 (3) HARRIS VA BRIDGE REHABS,Apr,SFB-11 INTERNATIONAL 4300 2015 Truck Mounted Attenuator (TMA) +,0:00,0:00,0:40,0:40
2023-035 (3) HARRIS VA BRIDGE REHABS,Apr,ET-03 (Manuel Andrade) RAM 1500 2022 Pickup Truck +,0:00,0:00,0:40,0:40
2023-035 (3) HARRIS VA BRIDGE REHABS,Apr,PT-229 (REYNERI CABALLERO) FORD F250 2022 Pickup Truck +,0:03,0:03,0:40,0:40
2024-030 Matagorda SH 35 Bridge Replacement,Apr,BRO-09 LAY-MOR SM300 2014 Sweeper +,1:53,1:53,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,PT-236 (ROLANDO COLMENERO-GARCIA) FORD F250 2023 Pickup Truck +,114:04,114:04,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,CC-03 KOBELCO CK1600G 2013 Crane +,15:29,15:29,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,PT-277 (Said Garcia) FORD MAVERICK XL 2024 Pickup Truck +,11:08,11:08,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,S-09 PETERBILT 567 2016 Heavy Truck +,3:14,3:14,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,ET-10 (JESUS MEDINA) RAM 1500 2022 Pickup Truck +,34:07,34:07,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,PT-14S (Keith Smith) FORD F250 2023 Pickup Truck +,9:42,9:42,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,PT-278 (Juan Castro) FORD MAVERICK XL 2024 Pickup Truck +,17:31,17:31,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,CS-01S DIAMOND PRODUCTS CC6571 2024 Walk Behind Saw +,0:00,0:00,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,PT-239 (ALEJANDRO RODRIGUEZ) FORD F150 2023 Pickup Truck +,0:40,0:40,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,BOAT-01 UNKNOWN UNKNOWN Boat +,0:00,0:00,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,EX-55 CAT 326F L 2015 Excavator +,71:51,71:51,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,WEL-01S LINCOLN 305G 2024 Welder +,0:00,0:00,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,ET-20 (OPEN RAM 1500) RAM 1500 2022 Pickup Truck +,1:32,1:32,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,MT-15 (Korbin Gee) FORD F550 2024 Pickup Truck +,17:41,17:41,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,PT-229 (REYNERI CABALLERO) FORD F250 2022 Pickup Truck +,8:16,8:16,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,PT-276 (Mario Moya) FORD MAVERICK XL 2024 Pickup Truck +,5:35,5:35,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,PT-06S (SELECT CREW TRUCK) FORD F350 2019 Pickup Truck +,3:46,3:46,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,PT-268 (OEPN) FORD MAVERICK XLT 2024 Pickup Truck +,5:26,5:26,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,WL-10 CAT 938K 2015 Wheel Loader +,123:18,123:18,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,PT-246 (PHILLIP SABAJ) FORD F150 2023 Pickup Truck +,1:29,1:29,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,PT-237 (JUAN C. MIRAMONTES JR) FORD F250 2023 Pickup Truck +,0:32,0:32,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,CS-02S DIAMOND PRODUCTS CC6571 2024 Walk Behind Saw +,0:00,0:00,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,PT-190 (JOSE TURRUBIARTES JR) FORD F250 2021 Pickup Truck +,1:46,1:46,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,SFB-07 FREIGHTLINER M2 106 2014 Truck Mounted Attenuator (TMA) +,0:02,0:02,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,PT-12S (OPEN) FORD F250 2023 Pickup Truck +,0:13,0:13,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,EX-59 JOHN DEERE 250G LC 2016 Excavator +,125:49,125:49,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,WT-07 PETERBILT 386 2014 Heavy Truck +,0:28,0:28,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,EX-65 JOHN DEERE 350G 2019 Excavator +,99:33,99:33,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,PT-235 (LUIS MORALES) FORD F150 2023 Pickup Truck +,2:37,2:37,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,PT-10S (ROBERT BERRYHILL) CHEVROLET 2500HD 2022 Pickup Truck +,93:23,93:23,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,D-16 CAT D6N LGP 2015 Dozer +,27:27,27:27,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,PT-160 (ARMANDO SALDIERNA JR) FORD F250 2019 Pickup Truck +,12:46,12:46,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,S-10 KENWORTH T880 2025 Heavy Truck +,1:26,1:26,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,SS-44 (ROLANDO COLMENERO-GARCIA) CAT 265 Skid Steer +,16:58,16:58,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,ET-16 (LUIS MURCIA ORELLANA) RAM 1500 2022 Pickup Truck +,4:00,4:00,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,#410009 HECTOR U. BONILLA RAM 2500 2024 Personal Vehicle +,44:24,44:24,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,EX-30 CAT 320D L 2011 Excavator +,35:26,35:26,973:46,973:46
2024-030 Matagorda SH 35 Bridge Replacement,Apr,PT-280 (ANDRES BLANCO) FORD F250 XL 2024 Pickup Truck +,59:56,59:56,973:46,973:46
2024-025 LIBERTY FM 787 EMC BRIDGE,Apr,D-17 CAT D6K2 2015 Dozer +,0:02,0:02,29:48,29:48
2024-025 LIBERTY FM 787 EMC BRIDGE,Apr,S-09 PETERBILT 567 2016 Heavy Truck +,3:06,3:06,29:48,29:48
2024-025 LIBERTY FM 787 EMC BRIDGE,Apr,EX-68 JOHN DEERE 470G Excavator +,0:00,0:00,29:48,29:48
2024-025 LIBERTY FM 787 EMC BRIDGE,Apr,ET-03 (Manuel Andrade) RAM 1500 2022 Pickup Truck +,6:54,6:54,29:48,29:48
2024-025 LIBERTY FM 787 EMC BRIDGE,Apr,BRO-06 BROCE BB250 2012 Sweeper +,0:18,0:18,29:48,29:48
2024-025 LIBERTY FM 787 EMC BRIDGE,Apr,#210013 - MATTHEW C. SHAYLOR JEEP WRANGLER 2024 Pickup Truck +,0:13,0:13,29:48,29:48
2024-025 LIBERTY FM 787 EMC BRIDGE,Apr,WT-11 FREIGHTLINER M2 106 2014 Heavy Truck +,0:09,0:09,29:48,29:48
2024-025 LIBERTY FM 787 EMC BRIDGE,Apr,LP-117 WANCO UNKNOWN Light Plant +,0:00,0:00,29:48,29:48
2024-025 LIBERTY FM 787 EMC BRIDGE,Apr,PT-201 (OPEN) FORD F250 2022 Pickup Truck +,2:35,2:35,29:48,29:48
2024-025 LIBERTY FM 787 EMC BRIDGE,Apr,R-13 SAKAI SV510T 2011 Roller +,0:05,0:05,29:48,29:48
2024-025 LIBERTY FM 787 EMC BRIDGE,Apr,ET-16 (LUIS MURCIA ORELLANA) RAM 1500 2022 Pickup Truck +,6:05,6:05,29:48,29:48
2024-025 LIBERTY FM 787 EMC BRIDGE,Apr,SS-41 (URIEL GARCIA-ANDRADE) CAT 289D3 Skid Steer +,6:05,6:05,29:48,29:48
2024-025 LIBERTY FM 787 EMC BRIDGE,Apr,ET-34 (AURELIANO REYES) FORD F250 2024 Pickup Truck +,2:07,2:07,29:48,29:48
2024-025 LIBERTY FM 787 EMC BRIDGE,Apr,S-10 KENWORTH T880 2025 Heavy Truck +,0:20,0:20,29:48,29:48
2024-025 LIBERTY FM 787 EMC BRIDGE,Apr,PT-229 (REYNERI CABALLERO) FORD F250 2022 Pickup Truck +,1:43,1:43,29:48,29:48
2023-035 (2) HARRIS VA BRIDGE REHABS,Apr,ET-03 (Manuel Andrade) RAM 1500 2022 Pickup Truck +,0:44,0:44,1:38,1:38
2023-035 (2) HARRIS VA BRIDGE REHABS,Apr,PT-190 (JOSE TURRUBIARTES JR) FORD F250 2021 Pickup Truck +,0:06,0:06,1:38,1:38
2023-035 (2) HARRIS VA BRIDGE REHABS,Apr,PT-229 (REYNERI CABALLERO) FORD F250 2022 Pickup Truck +,0:47,0:47,1:38,1:38
2024-004 CoD Sidewalks 2024 (#03),Apr,ET-04 (GERALD EHIMHEN) RAM 1500 2022 Pickup Truck +,0:07,0:07,24:02,24:02
2024-004 CoD Sidewalks 2024 (#03),Apr,ET-22 (JUAN LOPEZ) FORD F250 2023 Pickup Truck +,0:00,0:00,24:02,24:02
2024-004 CoD Sidewalks 2024 (#03),Apr,MT-14 (Ivan Torres) FORD F550 2023 Medium Truck +,0:01,0:01,24:02,24:02
2024-004 CoD Sidewalks 2024 (#03),Apr,PT-277 (Said Garcia) FORD MAVERICK XL 2024 Pickup Truck +,0:00,0:00,24:02,24:02
2024-004 CoD Sidewalks 2024 (#03),Apr,PT-278 (Juan Castro) FORD MAVERICK XL 2024 Pickup Truck +,0:04,0:04,24:02,24:02
2024-004 CoD Sidewalks 2024 (#03),Apr,ET-33 (JOSE P. LOPEZ LIRA) FORD F250 2024 Pickup Truck +,2:25,2:25,24:02,24:02
